,KET
KET,1.0
MET,0.1766042390970243
SUM_RUM_LST_mean,-0.21876644471913373
SUM_RUM_LST_std,0.18101804700853083
SUM_RUM_LST_min_val,-0.21566538060208643
SUM_RUM_LST_max_dif,0.15868099175014597
SUM_RUM_LST_avg_dif,0.16078365459164937
SUM_RUM_LST_std_dif,0.14625684022917368
SUM_RUM_LST_day_0,0.05502560675635064
SUM_RUM_LST_day_1,0.08021581196762562
SUM_RUM_LST_day_2,0.10438948470844706
SUM_RUM_LST_day_3,0.11191256525372337
SUM_RUM_LST_day_4,0.11802329480095529
SUM_RUM_LST_day_5,0.12057887905733229
SUM_RUM_LST_day_6,0.13818008657088193
SUM_RUM_LST_day_7,0.12731306449215665
SUM_RUM_LST_day_8,0.1251569308929971
SUM_RUM_LST_day_9,0.12418010577211551
SUM_RUM_LST_day_10,0.11326152835942231
SUM_RUM_LST_day_11,0.10763156868425065
SUM_RUM_LST_day_12,0.10247230169105896
SUM_RUM_LST_day_13,0.09373324292271261
SUM_EAT_LST_mean,-0.22413530482622307
SUM_EAT_LST_std,0.0012228243388263346
SUM_EAT_LST_min_val,-0.22782075879219046
SUM_EAT_LST_max_dif,0.025204665404518385
SUM_EAT_LST_avg_dif,0.0184834319730247
SUM_EAT_LST_std_dif,0.011624257365814511
SUM_EAT_LST_day_0,0.024481848128402872
SUM_EAT_LST_day_1,0.04186974039079862
SUM_EAT_LST_day_2,0.06011420974532723
SUM_EAT_LST_day_3,0.05916839903938426
SUM_EAT_LST_day_4,0.06172635386427297
SUM_EAT_LST_day_5,0.05237454783186442
SUM_EAT_LST_day_6,0.06125522257049342
SUM_EAT_LST_day_7,0.0682540814397484
SUM_EAT_LST_day_8,0.06999346286970817
SUM_EAT_LST_day_9,0.061651834235284766
SUM_EAT_LST_day_10,0.08197232994790328
SUM_EAT_LST_day_11,0.067644046975728
SUM_EAT_LST_day_12,0.06909270450375171
SUM_EAT_LST_day_13,0.07589275882552109
SUM_ACT_LST_mean,-0.242599992004544
SUM_ACT_LST_std,0.07411862692611486
SUM_ACT_LST_max_val,-0.1729932976329938
SUM_ACT_LST_min_val,-0.24798121982490676
SUM_ACT_LST_day_0,0.04628338002562248
SUM_ACT_LST_day_1,0.057958924147004924
SUM_ACT_LST_day_2,0.07439961729880058
SUM_ACT_LST_day_3,0.06641934162128388
SUM_ACT_LST_day_4,0.06521913743738748
SUM_ACT_LST_day_5,0.06518941113434834
SUM_ACT_LST_day_6,0.07096594076411249
SUM_ACT_LST_day_7,0.0707647575472325
SUM_ACT_LST_day_8,0.06322392838561597
SUM_ACT_LST_day_9,0.057960316517786506
SUM_ACT_LST_day_10,0.0664739626106979
SUM_ACT_LST_day_11,0.06794971211756377
SUM_ACT_LST_day_12,0.0655258005843042
SUM_ACT_LST_day_13,0.053932727244588495
SUM_GEN_RST_LST_mean,0.31959068628252724
SUM_GEN_RST_LST_std,0.21206346603435988
SUM_GEN_RST_LST_max_val,0.27681912033529943
SUM_GEN_RST_LST_min_val,0.24360101895234243
SUM_GEN_RST_LST_max_dif,0.18658301877001346
SUM_GEN_RST_LST_avg_dif,0.21568325631875596
SUM_GEN_RST_LST_std_dif,0.18563817848068667
SUM_GEN_RST_LST_day_0,0.05955637716872579
SUM_GEN_RST_LST_day_1,0.08087832941057663
SUM_GEN_RST_LST_day_2,0.11579371468473013
SUM_GEN_RST_LST_day_3,0.11838124236590576
SUM_GEN_RST_LST_day_4,0.11887472646680972
SUM_GEN_RST_LST_day_5,0.1103504203054801
SUM_GEN_RST_LST_day_6,0.12113794889330669
SUM_GEN_RST_LST_day_7,0.11802269319509774
SUM_GEN_RST_LST_day_8,0.12818978354542043
SUM_GEN_RST_LST_day_9,0.11401365935374447
SUM_GEN_RST_LST_day_10,0.11242960890757321
SUM_GEN_RST_LST_day_11,0.1127775213239968
SUM_GEN_RST_LST_day_12,0.10037521351974542
SUM_GEN_RST_LST_day_13,0.09586705027041457
